N,Total_NO,Total_BH
80,1.292451199995412,0.3565720000042347
80,1.2055879999970784,0.30336410000018077
80,1.2656963000044925,0.30287439999665366
80,1.2597803999960888,0.3981826000017463
80,1.26580549999926,0.34886420000111684
80,1.447292099997867,0.3685992000027909
80,1.193920599995181,0.4016890999992029
80,1.2641426999980467,0.388227099996584
80,1.3414869999978691,0.4258442999998806
80,1.2182554999963031,0.328977399993164
80,1.1425581999938004,0.3515227999960189
80,1.267674499998975,0.3161316999976407
80,1.346910400003253,0.3451788000020315
80,1.284456900000805,0.32246099999611033
80,1.3507864999992307,0.3502902000036556
80,1.1950503000043682,0.4163161000033142
80,1.3551309000104084,0.35441840000567026
80,1.1828061999985948,0.32401170000230195
100,2.57016680000379,0.7977670000036596
100,2.780426699995587,0.6386265000037383
100,2.761112199994386,0.6611905999961891
100,2.565376299993659,0.8047118000031332
100,2.609628700003668,0.7499354000028688
100,2.587884100001247,0.7045725999996648
100,2.459931500001403,0.6399182999957702
100,2.637827599995944,0.8468972000046051
100,2.5748351000002003,0.7748906000051647
100,2.4069365999966976,0.6483512000049814
100,2.5955652999982703,0.6839323999956832
100,2.9268639999936568,0.7860104999999749
100,2.7452544999978272,0.6728885999982595
100,2.5869473999991897,0.7416352000072948
100,2.5120353999955114,0.7170351000022492
100,2.529282300005434,0.957755499992345
100,2.701762599994254,0.679844399994181
100,2.7986908000020776,0.8503773999982513
100,2.5847990000038408,0.550093999991077
100,2.2600075000009383,0.6345709000015631
100,2.4939946999948006,0.7498132999971858
100,2.4912602999975206,0.8111057999994955
100,2.643838100004359,0.6935496999940369
100,2.5651806999958353,0.5823675999927218
100,2.5745439999955124,0.6821014999950421
100,2.4662867999941227,0.808082600007765
100,2.5186959999991814,0.8137218999981997
100,2.471066099999007,0.6431757999962429
100,2.4242771999997785,0.7571014000059222
100,2.606427499995334,0.7270711000019219
100,2.8833067000086885,0.8620118000035291
100,2.741692299998249,0.6623174999986077
100,2.834498899996106,0.6842782000021543
100,2.5906963999950676,0.7138400999974692
100,2.4769737999959034,0.7267625000022235
100,2.574221899994882,0.8241476999974111
100,2.5737111999915214,0.7156044000003021
100,2.6639080999957514,0.6424075000031735
100,2.6890865999957896,0.7075674999941839
100,2.4909052000002703,0.7794310999961453
100,2.45005300000048,0.8035917000088375
100,2.560664299999189,0.6586000000024796
100,2.82688159999816,0.6919603999995161
100,2.6127038999984507,0.7014205000014044
100,2.607117499996093,0.6650599000058719
100,2.532230400000117,0.6587425000034273
100,2.541589800006477,0.7579720000067027
